Rk,Coach,Yrs,Yr-Yr,W-L%,
229,Aaron Kromer,1,2012,0.438,
150,Abe Gibron,3,1972-1974,0.268,-0.17
444,Adam Walsh,2,1945-1946,0.75,0.482
79,Al Cornsweet,1,1931,0.2,-0.55
91,Al Davis,3,1963-1965,0.59,0.39
165,Al Groh,1,2000,0.563,-0.027
214,Al Jolley,2,1929-1933,0.091,-0.472
298,Al Nesser,1,1926,0,-0.091
326,Al Pierotti,1,1920,0.5,0.5
366,Al Saunders,3,1986-1988,0.436,-0.064
104,Aldo Donelli,2,1941-1944,0.267,-0.169
451,Alex Webster,5,1969-1973,0.42,0.153
268,Alfred McGall,1,1930,0,-0.42
70,Algy Clark,1,1934,0,0
381,Allie Sherman,8,1961-1968,0.528,0.528
337,Andy Reid,15,1999-2013,0.59,0.062
364,Andy Salata,1,1930,0,-0.59
158,Archie Golembeski,1,1925,0.545,0.545
196,Arnie Horween,2,1923-1924,0.619,0.074
242,Art Lewis,1,1938,0.5,-0.119
380,Art Shell+,7,1989-2006,0.519,0.019
191,Austin Higgins,1,1921,0,-0.519
354,Babe Ruetz,3,1922-1924,0.56,0.56
417,Barry Switzer,4,1994-1997,0.625,0.065
403,Bart Starr+,9,1975-1983,0.406,-0.219
143,Benny Friedman+,2,1930-1932,0.357,-0.049
23,Bert Bell,6,1936-1941,0.179,-0.178
11,Bill Arnsparger,3,1974-1976,0.2,0.021
12,Bill Austin,4,1966-1970,0.321,0.121
22,Bill Belichick,19,1991-2013,0.655,0.334
54,Bill Callahan,2,2002-2003,0.469,-0.186
77,Bill Conkright,1,1962,0.111,-0.358
84,Bill Cowher,15,1992-2006,0.623,0.512
114,Bill Edwards,2,1941-1942,0.308,-0.315
210,Bill Johnson,3,1976-1978,0.545,0.237
275,Bill McPeak,5,1961-1965,0.313,-0.232
312,Bill Parcells+,19,1983-2006,0.57,0.257
319,Bill Peterson,2,1972-1973,0.053,-0.517
445,Bill Walsh,10,1979-1988,0.609,0.556
257,Billy Marshall,2,1920-1921,0.273,-0.336
75,Blanton Collier,8,1963-1970,0.691,0.418
173,Bo Hanley,1,1924,0,-0.691
274,Bo McMillin,4,1948-1951,0.368,0.368
108,Bob Dove,1,1946,0.5,0.132
137,Bob Folwell,1,1925,0.667,0.167
192,Bob Hollway,2,1971-1972,0.308,-0.359
396,Bob Snyder,1,1947,0.5,0.192
449,Bob Waterfield+,3,1960-1962,0.273,-0.227
321,Bobby Petrino,1,2007,0.231,-0.042
353,Bobby Ross,9,1992-2000,0.54,0.309
67,Brad Childress,5,2006-2010,0.527,-0.013
33,Brian Billick,9,1999-2007,0.556,0.029
294,Brick Muller,1,1926,0.667,0.111
8,Bruce Arians,1,2013,0.625,-0.042
81,Bruce Coslet,9,1990-2000,0.379,-0.246
379,Buck Shaw,12,1946-1960,0.621,0.242
61,Bud Carson,2,1989-1990,0.458,-0.163
160,Bud Grant,18,1967-1985,0.622,0.164
459,Bud Wilkinson,2,1978-1979,0.31,-0.312
314,Buddy Parker,15,1949-1964,0.581,0.271
358,Buddy Ryan,7,1986-1995,0.5,-0.081
146,Budge Garrett,1,1922,0.667,0.167
21,Bull Behman,3,1929-1931,0.394,-0.273
217,Bull Karcis,1,1942,0,-0.394
434,Bulldog Turner+,1,1962,0.357,0.357
324,Bum Phillips,11,1975-1985,0.516,0.159
333,Buster Ramsey,2,1960-1961,0.407,-0.109
92,Butch Davis,4,2001-2004,0.414,0.007
55,Cam Cameron,1,2007,0.063,-0.351
115,Cap Edwards,2,1921-1925,0.5,0.437
267,Cap McEwan,2,1933-1934,0.45,-0.05
409,Carl Storck,5,1922-1926,0.235,-0.215
441,Carl Voyles,1,1948,0.143,-0.092
205,Cecil Isbell,4,1947-1951,0.303,0.16
144,Chan Gailey,5,1998-2012,0.425,0.122
122,Charley Ewart,1,1949,0.091,-0.334
290,Charley Moran,1,1927,0.286,0.195
349,Charley Rogers,1,1927,0.5,0.214
466,Charley Winner,,,,-0.5
42,Charlie Brickley,1,1921,0,0
442,Charlie Waller,2,1969-1970,0.563,0.563
446,Chile Walsh,1,1934,0.333,-0.23
218,Chip Kelly,1,2013,0.625,0.292
311,Chris Palmer,2,1999-2000,0.156,-0.469
112,Chuck Drulis,1,1961,1,0.844
124,Chuck Fairbanks,6,1973-1978,0.541,-0.459
224,Chuck Knox,22,1973-1994,0.559,0.018
305,Chuck Noll+,23,1969-1991,0.566,0.007
309,Chuck Pagano,2,2012-2013,0.688,0.122
413,Chuck Studley,1,1983,0.2,-0.488
378,Clark Shaughnessy,2,1948-1949,0.667,0.467
87,Clem Crowe,2,1949-1950,0.294,-0.373
19,Cliff Battles+,2,1946-1947,0.2,-0.094
392,Clipper Smith,2,1947-1948,0.304,0.104
355,Clive Rush,2,1969-1970,0.238,-0.066
65,Coonie Checkaye,1,1921,0,-0.238
236,Curly Lambeau+,33,1921-1953,0.631,0.631
98,Dan Devine,4,1971-1974,0.481,-0.15
186,Dan Henning,7,1983-1991,0.342,-0.139
336,Dan Reeves,23,1981-2003,0.535,0.193
350,Darryl Rogers,4,1985-1988,0.31,-0.225
58,Dave Campo,3,2000-2002,0.313,0.003
269,Dave McGinnis,4,2000-2003,0.298,-0.015
448,Dave Wannstedt,11,1993-2004,0.485,0.187
386,David Shula,5,1992-1996,0.268,-0.217
4,Dennis Allen,2,2012-2013,0.25,-0.018
120,Dennis Erickson,6,1995-2004,0.417,0.167
161,Dennis Green,13,1992-2006,0.546,0.129
367,Dewey Scanlon,4,1924-1929,0.531,-0.015
174,Dick Hanley,1,1946,0.5,-0.031
208,Dick Jauron,10,1999-2009,0.423,-0.077
238,Dick LeBeau+,3,2000-2002,0.267,-0.156
248,Dick MacPherson,2,1991-1992,0.25,-0.017
285,Dick Modzelewski,1,1977,0,-0.25
303,Dick Nolan,11,1968-1980,0.457,0.457
334,Dick Rauch,5,1925-1929,0.579,0.122
402,Dick Stanfel,1,1980,0.25,-0.329
427,Dick Todd,1,1951,0.556,0.306
439,Dick Vermeil,15,1976-2005,0.524,-0.032
18,Dim Batterson,1,1927,0,-0.524
3,Doc Alexander,2,1922-1926,0.5,0.5
59,Dom Capers,8,1995-2005,0.375,-0.125
80,Don Coryell,14,1973-1986,0.572,0.197
261,Don McCafferty,4,1970-1973,0.622,0.05
387,Don Shula+,33,1963-1995,0.678,0.056
256,Doug Marrone,1,2013,0.375,-0.303
94,Dudley DeGroot,4,1944-1947,0.619,0.244
26,Dutch Bergman,1,1943,0.667,0.048
71,Dutch Clark+,6,1937-1942,0.469,-0.198
185,Dutch Hendrian,1,1923,0,-0.469
329,Earl Potteiger,3,1924-1928,0.556,0.556
32,Ed Biles,3,1981-1983,0.258,-0.298
200,Ed Hughes,1,1971,0.308,0.05
221,Ed Khayat,2,1971-1972,0.348,0.04
230,Ed Kubale,1,1944,0,-0.348
272,Ed McKeever,1,1948,0.071,0.071
346,Ed Robinson,1,1931,0.5,0.429
452,Ed Weir,2,1927-1928,0.682,0.182
62,Eddie Casey,1,1935,0.2,-0.482
118,Eddie Erdelatz,2,1960-1961,0.375,0.175
425,Elgie Tobin,2,1920-1921,0.842,0.467
421,Emmitt Thomas+,1,2007,0.333,-0.509
252,Eric Mangini,5,2006-2010,0.413,0.08
412,Eric Studesville,1,2010,0.25,-0.163
180,Ernie Hefferle,1,1975,0.125,-0.125
300,Ernie Nevers+,4,1927-1939,0.308,0.183
1,Fay Abbott,2,1928-1929,0,-0.308
162,Forrest Gregg+,11,1975-1987,0.469,0.469
43,Frank Bridges,1,1944,0,-0.469
82,Frank Coughlin,1,1921,0,0
128,Frank Fausch,2,1921-1922,0.375,0.375
132,Frank Filchock,2,1960-1961,0.259,-0.116
145,Frank Gansz,2,1987-1988,0.267,0.008
234,Frank Kush,3,1982-1984,0.282,0.015
301,Frank Nied,1,1926,0.25,-0.032
2,Frankie Albert,3,1956-1958,0.543,0.293
47,Fred Bruney,1,1985,1,0.457
153,Fred Gillies,1,1928,0.167,-0.833
307,Fred O'Connor,1,1978,0.143,-0.024
327,Fritz Pollard+,2,1921-1925,0.667,0.524
231,Gary Kubiak,8,2006-2013,0.488,-0.179
286,Gary Moeller,1,2000,0.571,0.083
351,Gene Ronzani,4,1950-1953,0.311,-0.26
401,Gene Stallings,4,1986-1989,0.404,0.093
5,George Allen,12,1966-1977,0.712,0.308
151,George Gibson,1,1930,0.231,-0.481
168,George Halas+,40,1920-1967,0.682,0.451
376,George Seifert,11,1989-2001,0.648,-0.034
464,George Wilson,12,1957-1969,0.447,-0.201
297,Greasy Neale,10,1941-1950,0.594,0.147
368,Greg Schiano,2,2012-2013,0.344,-0.25
460,Gregg Williams,3,2001-2003,0.354,0.01
125,Guil Falcon,3,1920-1923,0.5,0.146
89,Gunther Cunningham,2,1999-2000,0.5,0
38,Gus Bradley,1,2013,0.25,-0.25
106,Gus Dorais,5,1943-1947,0.392,0.142
184,Gus Henderson,1,1939,0.545,0.153
420,Gus Tebell,1,1923,1,0.455
64,Guy Chamberlin+,6,1922-1927,0.784,-0.216
121,Hal Erickson,1,1924,0.385,-0.399
163,Hal Griffen,1,1930,0.455,0.07
175,Hal Hanson,1,1932,0.222,-0.233
202,Hal Hunter,1,1984,0,-0.222
328,Hampton Pool,5,1946-1954,0.578,0.578
50,Hank Bullough,3,1978-1986,0.182,-0.396
155,Hank Gillo,1,1920,0.286,0.104
233,Hank Kuhlmann,1,1989,0,-0.286
411,Hank Stram,17,1960-1977,0.575,0.575
416,Harland Svare,7,1962-1973,0.304,-0.271
156,Harry Gilmer,2,1965-1966,0.385,0.081
278,Harry Mehre,1,1923,0.286,-0.099
344,Harry Robb,2,1925-1926,0.278,-0.008
211,Harvey Johnson,2,1968-1971,0.08,-0.198
96,Herb Dell,1,1922,0,-0.08
209,Herb Joesting,1,1929,0.1,0.1
225,Herb Kopf,3,1944-1946,0.241,0.141
389,Herb Sies,1,1923,0.4,0.159
14,Herman Ball,3,1949-1951,0.2,-0.2
116,Herman Edwards,8,2001-2008,0.422,0.222
167,Hinkey Haines,1,1931,0.25,-0.172
339,Homer Rice,2,1978-1979,0.296,0.046
371,Howard Schnellenberger,2,1973-1974,0.235,-0.061
457,Hubert Wiggs,1,1922,0.25,0.015
207,Hue Jackson,1,2011,0.5,0.25
56,Hugh Campbell,2,1984-1985,0.267,-0.233
99,Hugh Devore,3,1953-1957,0.28,0.013
419,Hugh Taylor,1,1965,0.286,0.006
30,Hugo Bezdek,2,1937-1938,0.071,-0.215
6,Hunk Anderson,4,1942-1945,0.676,0.605
345,J.D. Roberts,3,1970-1972,0.219,-0.457
66,Jack Chevigny,1,1932,0.25,0.031
68,Jack Christiansen+,5,1963-1967,0.406,0.156
95,Jack Del Rio,9,2003-2011,0.489,0.083
97,Jack Depler,3,1929-1931,0.364,-0.125
127,Jack Faulkner,3,1962-1964,0.29,-0.074
133,Jack Fish,1,1930,0.2,-0.09
139,Jack Forsyth,2,1920-1921,0.571,0.371
181,Jack Hegarty,1,1921,0.333,-0.238
183,Jack Heldt,1,1926,0.143,-0.19
220,Jack Keogh,1,1926,0.3,0.157
277,Jack Meagher,1,1946,0.167,-0.133
313,Jack Pardee,11,1975-1994,0.53,0.363
315,Jack Patera,7,1976-1982,0.372,-0.158
107,Jap Douds,1,1933,0.333,-0.039
147,Jason Garrett,4,2010-2013,0.518,0.185
134,Jeff Fisher,19,1994-2013,0.532,0.014
51,Jerry Burns,6,1986-1991,0.547,0.015
157,Jerry Glanville,9,1985-1993,0.465,-0.082
