team,percentage,performance
Gonzaga,93.75%,1.0000
Memphis,88.24%,0.9412
Kansas,85.29%,0.9098
New Mexico,85.29%,0.9098
Louisville,85.29%,0.9098
SF Austin,85.19%,0.9086
Middle Tenn St,84.85%,0.9051
Duke,84.38%,0.9000
Bucknell,84.38%,0.9000
Indiana,81.82%,0.8727
Miami FL,81.82%,0.8727
St Louis,81.82%,0.8727
St Mary's CA,81.25%,0.8667
Georgetown,80.65%,0.8602
Akron,80.65%,0.8602
Louisiana Tech,80.65%,0.8602
Belmont,80.00%,0.8533
Weber St,80.00%,0.8533
Creighton,79.41%,0.8471
Montana,79.31%,0.8460
Florida,78.79%,0.8404
Ohio St,78.79%,0.8404
Kansas St,78.79%,0.8404
Michigan,78.13%,0.8333
Arizona,78.13%,0.8333
Davidson,78.13%,0.8333
Valparaiso,78.13%,0.8333
Stony Brook,76.67%,0.8178
VA Commonwealth,76.47%,0.8157
Wichita St,76.47%,0.8157
Mississippi,76.47%,0.8157
Oregon,76.47%,0.8157
Butler,75.76%,0.8081
Michigan St,75.00%,0.8000
Pittsburgh,75.00%,0.8000
Oklahoma St,75.00%,0.8000
Syracuse,74.29%,0.7924
Marquette,74.19%,0.7914
Colorado St,74.19%,0.7914
Notre Dame,73.53%,0.7843
UCLA,73.53%,0.7843
UNLV,72.73%,0.7758
Ohio,72.73%,0.7758
Col Charleston,72.73%,0.7758
Temple,71.88%,0.7667
Southern Miss,71.88%,0.7667
W Illinois,71.43%,0.7619
N Dakota St,70.97%,0.7570
S Dakota St,70.97%,0.7570
E Kentucky,70.97%,0.7570
NC State,70.59%,0.7529
Albany NY,70.59%,0.7529
Northwestern LA,70.37%,0.7506
La Salle,70.00%,0.7467
Denver,70.00%,0.7467
Missouri,69.70%,0.7434
North Carolina,69.70%,0.7434
New Mexico St,69.70%,0.7434
Robert Morris,69.70%,0.7434
Southern Univ,68.97%,0.7356
Lehigh,68.97%,0.7356
FL Gulf Coast,68.75%,0.7333
NC Central,67.86%,0.7238
Wisconsin,67.65%,0.7216
Cincinnati,66.67%,0.7111
Iowa St,66.67%,0.7111
San Diego St,66.67%,0.7111
Connecticut,66.67%,0.7111
Utah St,66.67%,0.7111
Harvard,66.67%,0.7111
Kentucky,65.63%,0.7000
Colorado,65.63%,0.7000
Virginia,65.63%,0.7000
Massachusetts,65.63%,0.7000
Charlotte,65.63%,0.7000
Mercer,65.63%,0.7000
Vermont,65.63%,0.7000
Loyola MD,65.63%,0.7000
Norfolk St,65.63%,0.7000
Boise St,65.52%,0.6989
Murray St,65.52%,0.6989
Maryland,64.71%,0.6902
Oklahoma,64.52%,0.6882
California,64.52%,0.6882
BYU,64.52%,0.6882
Illinois,63.64%,0.6788
Iowa,63.64%,0.6788
Arizona St,63.64%,0.6788
Santa Clara,63.33%,0.6756
Bryant,63.33%,0.6756
Elon,63.33%,0.6756
Minnesota,62.50%,0.6667
Tennessee,62.50%,0.6667
Alabama,62.50%,0.6667
Pacific,62.50%,0.6667
